dataset,image,psnr,ssim,time
Set5,Set5_baby,30.330710991147104,0.8414214510163917,0.0019845962524414062
Set5,Set5_bird,28.068146395224414,0.8597975750972494,0.000986337661743164
Set5,Set5_butterfly,20.871795954567173,0.7177686169216453,0.0
Set5,Set5_head,28.93212626700119,0.7023672583594592,0.0
Set5,Set5_woman,25.035940554825963,0.8294443490410351,0.0009951591491699219
Set14,Set14_baboon,20.269883141683998,0.42562814280697214,0.0009965896606445312
Set14,Set14_barbara,23.58230218352979,0.66615131496639,0.002007007598876953
Set14,Set14_bridge,23.100817449209305,0.5735632931036314,0.001996278762817383
Set14,Set14_coastguard,23.789338980670824,0.49527536939053524,0.0
Set14,Set14_comic,20.261322767976353,0.6093008206590893,0.0
Set14,Set14_face,28.928239950183272,0.7002549118480129,0.0
Set14,Set14_flowers,23.777336385004304,0.7179582050743054,0.0009963512420654297
Set14,Set14_foreman,25.976806288876002,0.8472603163952478,0.0
Set14,Set14_lenna,28.313901063301486,0.755183890648882,0.0009965896606445312
Set14,Set14_man,24.38941453613182,0.6720483770512865,0.0019106864929199219
Set14,Set14_monarch,26.195836388085034,0.8747077662831894,0.002990245819091797
Set14,Set14_pepper,27.184691051272004,0.7635430920791859,0.001992940902709961
Set14,Set14_ppt3,20.38731150084542,0.8105847113154975,0.0020017623901367188
Set14,Set14_zebra,22.766849402048692,0.6870840033932931,0.0019936561584472656
BSD100,BSD100_101085,21.66518475841648,0.49428823836588925,0.000997304916381836
BSD100,BSD100_101087,25.381766786768686,0.7621278023300407,0.0009965896606445312
BSD100,BSD100_102061,23.883492210345914,0.75142866690725,0.0019931793212890625
BSD100,BSD100_103070,27.969571499444775,0.7994102724956712,0.0009958744049072266
BSD100,BSD100_105025,24.095631365452835,0.6603404277077883,0.0009999275207519531
BSD100,BSD100_106024,29.986367678837397,0.8579684374917834,0.0010061264038085938
BSD100,BSD100_108005,23.627357250606206,0.6520558817123754,0.0019941329956054688
BSD100,BSD100_108070,21.232120276087333,0.5083376968958434,0.0009961128234863281
BSD100,BSD100_108082,24.829503753093448,0.7235078570546668,0.001993417739868164
BSD100,BSD100_109053,26.964979665669805,0.7502700661695257,0.0009968280792236328
BSD100,BSD100_119082,20.828836157638904,0.5877269629868609,0.0
BSD100,BSD100_12084,24.72771467675426,0.6531290653206087,0.0
BSD100,BSD100_123074,27.541462468693094,0.7587348341105656,0.0009968280792236328
BSD100,BSD100_126007,25.95541664911528,0.7531317221533836,0.0009963512420654297
BSD100,BSD100_130026,22.990246650814854,0.6078984202653245,0.0009844303131103516
BSD100,BSD100_134035,21.10835972190657,0.6304906910714321,0.0009319782257080078
BSD100,BSD100_14037,30.677286940732063,0.8363245939772682,0.0010175704956054688
BSD100,BSD100_143090,29.359621206929745,0.8501950311036772,0.0010056495666503906
