dataset,psnr_gain,ssim_gain
Set5,0.24341420230288335,0.0070405210880377656
Set14,0.16221364764705726,0.004886503278449972
BSD100,0.0799232886589607,0.0034749882464280013
Urban100,0.13989682357700772,0.007975237095057541
Average,0.15636199054647726,0.00584431242699332
