dataset,image,psnr,ssim,time
Set5,Set5_baby,31.635011228425046,0.8725208972622069,0.32217579999996815
Set5,Set5_bird,29.954410773372015,0.8962998179948892,0.025080900000830297
Set5,Set5_butterfly,22.859715128330606,0.7965005998666962,0.012274800000341202
Set5,Set5_head,29.422828927196445,0.7310220471887169,0.011112099999991187
Set5,Set5_woman,26.881664554027218,0.8767756592414834,0.011187999999492604
Set14,Set14_baboon,20.54017711827091,0.4768653963491276,0.012913699999444361
Set14,Set14_barbara,24.190640080406087,0.711598657491237,0.020356499999252264
Set14,Set14_bridge,23.725827257173798,0.6352974162530433,0.009902300000248943
Set14,Set14_coastguard,24.296116609689392,0.5382941401572433,0.009053400000084366
Set14,Set14_comic,21.072133536293336,0.6788175012316703,0.01693020000038814
Set14,Set14_face,29.373690647933653,0.7276398458140831,0.005851799999618379
Set14,Set14_flowers,24.87234694177324,0.7601166875766903,0.0134741000001668
Set14,Set14_foreman,27.55084954535373,0.8777318469018963,0.006298600000263832
Set14,Set14_lenna,29.181896581006967,0.7821853550213156,0.009551400000418653
Set14,Set14_man,25.320349422495283,0.7238675898985983,0.010254900000290945
Set14,Set14_monarch,28.031269282862024,0.9030946940901309,0.01688469999953668
Set14,Set14_pepper,27.94214147727142,0.7801397198135823,0.009299500000452099
Set14,Set14_ppt3,22.02907360496536,0.8477178430678619,0.015194000000519736
Set14,Set14_zebra,24.660610365470383,0.7629255071293639,0.010620900000503752
BSD100,BSD100_101085,22.184151670301265,0.5513705691223003,0.01649840000027325
BSD100,BSD100_101087,26.203950531129294,0.7879650431343747,0.007940099999359518
BSD100,BSD100_102061,24.438813878603863,0.7790508698261047,0.005929199999627599
BSD100,BSD100_103070,28.84908983393344,0.8357429866053269,0.010532399999647168
BSD100,BSD100_105025,24.60396184859521,0.702194741426382,0.0067957000001115375
BSD100,BSD100_106024,31.10894152367317,0.8745279558296177,0.008663399999932153
BSD100,BSD100_108005,24.441753065852772,0.7120447385226303,0.00819370000044728
BSD100,BSD100_108070,21.62279621385951,0.5681696591138053,0.009485999999924388
BSD100,BSD100_108082,25.708123592014516,0.7679171760703406,0.007713300000432355
BSD100,BSD100_109053,27.624984340408687,0.7879502333599833,0.008710399999472429
BSD100,BSD100_119082,21.93665050513578,0.653263467664496,0.0074772999996639555
BSD100,BSD100_12084,25.60767411377565,0.7146689831593189,0.006627200000366429
BSD100,BSD100_123074,28.358399705601652,0.8050276163578381,0.007810799999788287
BSD100,BSD100_126007,26.859861901427585,0.7851856234676093,0.0067453999999997905
BSD100,BSD100_130026,23.498720282029627,0.6572929838540269,0.05019759999959206
BSD100,BSD100_134035,22.29344346829917,0.7124664521963714,0.04101470000023255
BSD100,BSD100_14037,31.677408542082574,0.8601586162007818,0.009289800000260584
BSD100,BSD100_143090,30.10721242328578,0.866666150577846,0.009050300000126299
BSD100,BSD100_145086,23.74879361485113,0.6713519168986727,0.009660900000199035
BSD100,BSD100_147091,23.977316949730767,0.7646591441086238,0.012448399999811954
BSD100,BSD100_148026,20.083383567529168,0.6163104331090926,0.011385400000108348
BSD100,BSD100_148089,21.97173174739782,0.5901771765779971,0.010883599999942817
BSD100,BSD100_156065,23.46238847654661,0.5547476385547095,0.01033240000015212
BSD100,BSD100_157055,24.471102851587176,0.7569469916781406,0.008990000000267173
BSD100,BSD100_159008,25.389391958143747,0.7941184671301619,0.010625699999764038
BSD100,BSD100_160068,25.41963540763038,0.8247412754290583,0.010502899999664805
BSD100,BSD100_16077,25.852748007099933,0.7125014873874557,0.009418499999810592
BSD100,BSD100_163085,27.69708044065173,0.7902198597928876,0.023822899999686342
BSD100,BSD100_167062,28.85389817731324,0.8482766822161322,0.02532489999975951
BSD100,BSD100_167083,18.439241013117186,0.49919181537929275,0.018424900000354683
BSD100,BSD100_170057,27.874860593575626,0.7975432334119953,0.020774599999640486
BSD100,BSD100_175032,19.529090023144242,0.42396683528447615,0.028795599999284605
BSD100,BSD100_175043,23.511426081746237,0.6635812013545158,0.02379639999981009
BSD100,BSD100_182053,22.620931364006044,0.732064355466092,0.023235900000145193
BSD100,BSD100_189080,31.423155883416914,0.8545954112934823,0.021958299999823794
BSD100,BSD100_19021,25.021511977844874,0.7086713594097757,0.02609149999989313
BSD100,BSD100_196073,26.47352367116663,0.4660463015255522,0.05654499999945983
BSD100,BSD100_197017,26.268059338195005,0.683855020449049,0.059423799999422044
BSD100,BSD100_208001,26.633090725435096,0.7015339520366637,0.06261989999984507
BSD100,BSD100_210088,30.096722984083605,0.8964040343463523,0.061566100000163715
BSD100,BSD100_21077,24.59359474451773,0.6930070262578605,0.0625493000006827
BSD100,BSD100_216081,23.89500582861543,0.6736915113972449,0.06059240000013233
BSD100,BSD100_219090,24.79315401181545,0.7170050945028312,0.061557400000310736
BSD100,BSD100_220075,25.406168610407708,0.8393664796795575,0.06417500000043219
BSD100,BSD100_223061,22.93653074294399,0.6500186122265051,0.06574279999949795
BSD100,BSD100_227092,32.27831655278909,0.8374681440579025,0.08987359999991895
BSD100,BSD100_229036,20.952099447945137,0.5890341010309236,0.08877690000008442
BSD100,BSD100_236037,23.385831517280764,0.6351800983629148,0.07069030000002385
BSD100,BSD100_24077,23.628341568651763,0.818566107045089,0.0607296000007409
BSD100,BSD100_241004,30.135770024484486,0.8074286713045385,0.035141700000167475
BSD100,BSD100_241048,23.23425850455289,0.6012319810593287,0.061072400000739435
BSD100,BSD100_253027,20.707904657090943,0.6717249911540658,0.03546770000048127
BSD100,BSD100_253055,30.44864284320797,0.8062095955388752,0.04849149999972724
BSD100,BSD100_260058,30.875907107383313,0.7633588088463682,0.052386899999874004
BSD100,BSD100_271035,25.31938459221859,0.7209040816638108,0.09070319999955245
BSD100,BSD100_285079,23.396962805507457,0.6514977446573925,0.04841839999971853
BSD100,BSD100_291000,19.822465608269216,0.42103344890125527,0.03310169999986101
BSD100,BSD100_295087,25.834178017613784,0.7016956216122615,0.04387060000044585
BSD100,BSD100_296007,30.443583597683542,0.7666644605644449,0.03915749999941909
BSD100,BSD100_296059,28.933723771493433,0.7443977559328404,0.04401450000023033
BSD100,BSD100_299086,30.075393865057528,0.7791816139023257,0.03173900000001595
BSD100,BSD100_300091,26.862061302306724,0.7548273470891825,0.041795600000114064
BSD100,BSD100_302008,28.632123144428085,0.9254573785840751,0.030631800000264775
BSD100,BSD100_304034,22.76378772701865,0.6644918495871952,0.03885730000001786
BSD100,BSD100_304074,24.259469955200082,0.6049790439815439,0.033513200000015786
BSD100,BSD100_306005,26.282171001668427,0.7738501850559428,0.04047999999966123
BSD100,BSD100_3096,35.26791610752945,0.961202799611233,0.031776199999512755
BSD100,BSD100_33039,19.448778116460097,0.5902141496956208,0.0406673999996201
BSD100,BSD100_351093,21.135252355802873,0.6335181730389384,0.03318369999942661
