dataset,avg_psnr,avg_ssim,avg_time
Set5,27.293893523236115,0.8073268242016667,0.05236117999993439
Set14,24.682524427957194,0.704564631336592,0.0218521571429002
BSD100,25.045416773689173,0.6849238457514086,0.026533750999983566
Urban100,22.13693342598109,0.6754753387344392,0.07452229000000898
