model,Set5,Set14,BSD100,Urban100,Average
Bicubic,0.7901598500871562,0.6856103010725371,0.6613770113126324,0.6517022051791017,0.6972123419128569
SRCNN,0.8073268242016667,0.704564631336592,0.6849238457514086,0.6754753387344392,0.7180726600060265
EDSR-lite,0.8346238043107984,0.7290208714854174,0.7053512076025386,0.7020742359595122,0.7427675298395666
Attention-EDSR,0.8416643253988362,0.7339073747638674,0.7088261958489666,0.7100494730545698,0.74861184226656
