model,Set5,Set14,BSD100,Urban100,Average
Bicubic,26.64774403255317,24.20886079205845,24.65075253574703,21.699059082182444,24.301604110635274
SRCNN,27.293893523236115,24.682524427957198,25.045416773689173,22.13693342598109,24.789692037715895
EDSR-lite,28.150726122270264,25.199080176497542,25.42197924385238,22.65039407932553,25.355544905486425
Attention-EDSR,28.394140324573147,25.3612938241446,25.50190253251134,22.790290902902537,25.511906896032908
